abdi|servant|عَبْد|ʻabd
kurma|date palm|كَرْمة|karma: grapevine
kursi|chair|كُرْسيّ|kursiyy
kurun|span (of time)|قُرون|qurūn: centuries
lahir|to be born; physical, external, outer|ظاهر|ẓāhir
laskar|soldier|العَسْكَر|al-ʻaskar
lezat|delicious|لذيذ|ladhidh
lisan|verbally, tongue|لِسان|lisān
maaf|sorry, to apologise|معاف|muʻāf
mahkamah|court of law|مَحْكَمة|maḥkama
majelis|assembly, board, council|مَجْلِس|majlis
makam|grave|مَقَام|maqām
makhluk|creature|مخلوق|maẖlūq
makna|meaning|مَعْنًى|maʻnan
maksud|meaning, purpose|مَقْصود|maqsūd
maktub|written|مَكْتوب|maktūb
malaikat|angel|مَلائكة|malāʼika
masalah|problem|مَسْأَلة|masʼala
masjid|mosque|مَسْجِد|masjid
maut|dead, deadly|مَوْت|mawt
menara|tower|مَنارة|manāra
Mesir|Egypt|مِصْر|miṣr
miskin|poor|مِسْكين|miskīn
mubazir|useless|مُبَذِّر|mubaḏḏir
muflis|bankrupt|مُفْلِس|muflis
mujizat|miracle|المعجزات|al-mujazat
mungkin|maybe|مُمْكِن|mumkin
munafik|hypocrite|مُنافِق|munāfiq
murtad|apostate|مُرْتَدّ|murtadd
musim|season|مَوْسِم|mawsim
mustahil|impossible|مُسْتَحيل|mustaḥīl
nabi|prophet|نَبيّ|nabiiy
nafas|breathe, respire|تَنَفَّسَ|tanafas
nafkah|living|النفقة|alnafaqa: alimony
nafsu|desire|نَفْس|nafs: self, soul
najis|impure, unclean|نَجِس|najis
nasihat|advice|نَصيحة|naṣīḥa
nikah|to marry|نيكَ|niika
nisbah|ratio|نسبة|nisba
paham|to understand|فَهْم|fahm
petuah|lesson, advice|فَتْوى|fatwā
pikir|to think|فِكْر|fikr
pondok|cottage, lodge, shack|فندق|funduq
Rabu|Wednesday|الأَرْبِعاء|al-ʼarbiʻāʼ
rahim|uterus, womb|رَحِم|raḥim
rahmat|blessing|رَحْمة|raḥma
rakyat|people, citizen|رَعيّة|raʻiyya
rasul|prophet, apostle|رَسول|rasūl
rehat|rest|راحة|rāḥa
rihat|rest|راحة|rāḥa
saat|moment|ساعة|sāʻa: hour
sabar|patient|صَبْر|ṣabr
Sabtu|Saturday|السَبْت|as-sabt
sabun|soap|صابون|ṣābūn
sahabat|close friend|صَحابة|ṣaḥāba
salat|to pray (for Muslims)|صَلاة|ṣalāh
saleh|pious|صالِح|ṣāliḥ
salju|snow|ثَلْج|thalj
saraf|nerve|صَرْف|ṣarf
saum|fasting|صَوْم|ṣawm
sebab|cause, reason|سَبَب|sabab
sedekah|charitable gift, alms|صَدَقة|ṣadaqa
sehat|healthy|صِحّة|ṣiḥḥa
selamat|safe, well-being|سَلامة|salāma
Selasa|Tuesday|الثُلاثاء|ath-thulāthāʼ
Senin|Monday|الإثْنَيْن|al-ithnayn
serikat|company, federation|شَرِكَة|syarika
setan|devil, demon|شَيْطَان|shaitan
siasat|strategy, trick|سِياسة|siyāsa: policy, strategy
sifat|characteristic, trait, quality|صِفة|ṣifa
soal|question, problem|سُؤال|suʼāl
subuh|early morning|صباح|ṣabāḥ
sultan|king|سلطان|sultan
syariat|Islamic law|شَريعة|sharīʻa
syukur|gratitude|شُكْر|shukr
taat|obedient|طاعة|ṭāʿa
tabib|traditional healer|طَبيب|ṭabīb
takabur|arrogant|متكبر|mutakabir
takdir|destiny|تقدير|taqdir: estimation
terjemah|to translate|تَرْجَمة|tarjama
tertib|orderly|تَرْتيب|tartīb
umum|common, public|عُموم|ʻumūm
umur|age|عُمْر|ʻumr
unsur|element|عُنْصُر|ʻunṣur
wahid|one, the only|واحِد|wāḥid
wajah|face|وَجْه|wajh
wajib|required, compulsory|وَاجِب|wājib: duty
waktu|time|وَقْت|waqt
waris|to inherit|وارِث|wārith
wilayah|region, area|وِلاية|wilāya
yakin|confidence, sureness, belief|يَقين|yaqīn
zaitun|olive|زَيْتون|zaytūn
zakar|male genitalia|ذَكَر|dhakar
zakat|alms|زَكاة|zakāh
zaman|era|زَمَن|zaman
zamrud|emerald|زُمُرُّد|zumurrud
ziarah|pilgrimage|زيارة|ziyāra: visit
zinah|adultery|زِناء|zināʼ
